2026-01-05 17:07:59 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-05 17:07:59 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 12:57:52 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 12:57:52 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 12:57:52 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 12:57:52 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 12:57:55 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 13:08:07 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 13:08:07 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 13:08:07 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-07 13:08:07 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 13:08:07 | ERROR    | Dummy-3  | tile_downloader      | run             | Error in download loop: cannot schedule new futures after interpreter shutdown
2026-01-07 13:09:16 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 13:09:16 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 13:09:16 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 13:09:16 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 13:09:19 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:27:25 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 14:27:25 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 14:27:25 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-07 14:27:25 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 14:28:58 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:28:58 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:28:58 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:28:58 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:29:00 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:29:33 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 14:29:33 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 14:29:33 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-07 14:29:33 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 14:32:06 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:32:06 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:32:06 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:32:06 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:32:08 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:33:19 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 14:33:19 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 14:33:19 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-07 14:33:19 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 14:33:47 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:33:47 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:33:47 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:33:47 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:33:48 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:34:15 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 14:34:15 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 14:34:15 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
2026-01-07 14:34:15 | INFO     | MainThread | drone_manager        | cleanup         | Cleanup complete
2026-01-07 14:35:21 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:35:21 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:35:21 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:35:21 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:35:24 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:35:55 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:35:55 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:35:55 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:35:55 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:35:57 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:36:24 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2026-01-07 14:36:25 | INFO     | MainThread | drone_manager        | __init__        | DroneManager initialized (max drones: 2)
2026-01-07 14:36:25 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_1 (Drone 1) on  @ 57600 baud - Color: #FF0000
2026-01-07 14:36:25 | INFO     | MainThread | drone_manager        | add_drone       | Added drone: drone_2 (Drone 2) on  @ 57600 baud - Color: #0000FF
2026-01-07 14:36:27 | INFO     | Dummy-3  | tile_downloader      | run             | Tile download manager started
2026-01-07 14:36:35 | INFO     | MainThread | drone_manager        | cleanup         | Cleaning up all drone connections...
2026-01-07 14:36:35 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_1
2026-01-07 14:36:35 | INFO     | MainThread | drone_manager        | remove_drone    | Removed drone: drone_2
